Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),gFx,gFy,gFz,gFTotal,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Activity
3.68E-01,2.12E+00,9.35E+00,9.60E+00,0.012,-0.18,-0.963,0.979,1.31E-02,-1.38E-03,3.67E-03,1.37E-02,standing
4.42E-01,2.14E+00,9.40E+00,9.65E+00,0.006,-0.177,-0.967,0.983,1.16E-02,-5.33E-03,4.61E-03,1.36E-02,standing
4.28E-01,2.14E+00,9.44E+00,9.69E+00,-0.005,-0.18,-0.976,0.992,9.30E-03,-3.01E-03,4.94E-03,1.10E-02,standing
3.85E-01,2.11E+00,9.48E+00,9.72E+00,-0.009,-0.187,-0.986,1.003,1.03E-02,2.93E-03,7.75E-04,1.08E-02,standing
3.13E-01,2.08E+00,9.49E+00,9.73E+00,-0.011,-0.194,-0.99,1.009,1.48E-02,4.37E-03,4.02E-03,1.60E-02,standing
2.70E-01,2.05E+00,9.46E+00,9.68E+00,-0.021,-0.2,-0.993,1.013,2.34E-02,-1.81E-03,1.68E-03,2.35E-02,standing
2.46E-01,2.03E+00,9.41E+00,9.63E+00,-0.029,-0.207,-0.997,1.019,3.25E-02,-2.79E-03,3.13E-03,3.28E-02,standing
2.79E-01,2.03E+00,9.40E+00,9.62E+00,-0.029,-0.213,-0.998,1.021,3.75E-02,6.94E-03,2.19E-03,3.82E-02,standing
3.29E-01,2.06E+00,9.49E+00,9.71E+00,-0.027,-0.211,-0.993,1.015,3.71E-02,6.76E-03,4.70E-03,3.80E-02,standing
3.77E-01,2.10E+00,9.62E+00,9.85E+00,-0.023,-0.207,-0.982,1.004,3.10E-02,-7.52E-03,4.33E-03,3.22E-02,standing
4.97E-01,2.14E+00,9.75E+00,9.99E+00,-0.023,-0.201,-0.966,0.987,2.51E-02,2.15E-03,1.21E-02,2.79E-02,standing
1.62E+01,6.89E+00,1.08E-01,1.76E+01,0.775,-0.496,-0.741,1.182,-8.55E-01,1.66E+00,-4.72E-01,1.93E+00,running
1.74E+01,7.46E+00,5.34E+00,1.97E+01,0.666,-0.598,-0.478,1.015,-2.48E-01,7.87E-01,-2.81E-01,8.72E-01,running
2.10E+01,8.18E+00,1.50E+01,2.71E+01,0.544,-0.651,-0.321,0.907,3.95E-01,-4.48E-02,-7.89E-02,4.05E-01,running
2.53E+01,7.94E+00,2.81E+01,3.86E+01,0.53,-0.65,-0.18,0.858,1.02E+00,-4.88E-01,8.05E-02,1.13E+00,running
2.64E+01,5.91E+00,4.14E+01,4.95E+01,0.426,-0.596,-0.14,0.746,1.50E+00,-5.57E-01,1.79E-01,1.61E+00,running
2.34E+01,3.73E+00,5.01E+01,5.54E+01,0.301,-0.438,-0.148,0.552,1.65E+00,-1.65E-01,4.23E-01,1.71E+00,running
1.87E+01,2.13E+00,4.98E+01,5.32E+01,0.235,-0.277,-0.194,0.412,1.56E+00,5.18E-01,8.25E-01,1.84E+00,running
1.40E+01,1.42E+00,4.22E+01,4.45E+01,0.31,-0.148,-0.378,0.511,1.54E+00,1.24E+00,1.19E+00,2.30E+00,running
1.05E+01,1.56E+00,3.44E+01,3.60E+01,0.499,-0.016,-0.879,1.01,1.61E+00,1.77E+00,1.34E+00,2.74E+00,running
7.10E+00,1.96E+00,2.91E+01,3.00E+01,0.472,0.048,-1.195,1.285,1.81E+00,1.97E+00,1.17E+00,2.92E+00,running
2.70E+00,2.45E+00,2.40E+01,2.43E+01,0.511,0.034,-1.47,1.556,2.21E+00,1.77E+00,8.59E-01,2.96E+00,running
3.41E+00,1.76E+01,1.46E+01,2.31E+01,0.614,-0.13,-1.478,1.605,2.65E+00,1.26E+00,6.85E-01,3.02E+00,running
2.46E+01,1.78E+01,3.58E+01,4.70E+01,0.619,-0.338,-1.322,1.498,2.96E+00,7.11E-01,6.44E-01,3.12E+00,running
5.04E+01,1.12E+01,6.42E+01,8.24E+01,0.504,-0.52,-1.104,1.32,2.75E+00,7.22E-02,6.31E-01,2.82E+00,running
6.26E+01,5.23E+00,7.68E+01,9.92E+01,0.355,-0.71,-0.915,1.211,1.97E+00,-8.01E-01,5.51E-01,2.20E+00,running
5.91E+01,1.45E+00,7.48E+01,9.54E+01,0.195,-0.903,-0.932,1.312,3.59E+00,-3.28E-01,8.48E-01,3.71E+00,running
-1.09E-01,2.55E+00,9.23E+00,9.57E+00,0.108,-0.152,-1.014,1.031,-1.27E-02,1.78E-01,-4.14E-01,4.51E-01,walking
-6.56E-02,2.58E+00,9.28E+00,9.63E+00,0.13,-0.144,-1.019,1.038,1.06E-02,2.11E-01,-3.54E-01,4.12E-01,walking
-7.38E-02,2.65E+00,9.41E+00,9.77E+00,0.147,-0.136,-1.018,1.037,2.31E-02,2.41E-01,-2.93E-01,3.81E-01,walking
-1.74E-01,2.73E+00,9.55E+00,9.94E+00,0.16,-0.13,-1.008,1.028,2.34E-02,2.61E-01,-2.34E-01,3.52E-01,walking
-3.56E-01,2.79E+00,9.67E+00,1.01E+01,0.165,-0.13,-0.988,1.01,2.06E-02,2.63E-01,-1.88E-01,3.24E-01,walking
-5.48E-01,2.83E+00,9.83E+00,1.02E+01,0.16,-0.132,-0.968,0.99,9.69E-03,2.37E-01,-1.48E-01,2.80E-01,walking
-6.93E-01,2.82E+00,9.99E+00,1.04E+01,0.152,-0.142,-0.949,0.972,-6.17E-03,2.10E-01,-1.06E-01,2.35E-01,walking
-8.19E-01,2.78E+00,1.02E+01,1.06E+01,0.148,-0.157,-0.933,0.957,-2.52E-02,2.03E-01,-6.13E-02,2.14E-01,walking
-9.55E-01,2.78E+00,1.06E+01,1.10E+01,0.144,-0.174,-0.922,0.95,-4.95E-02,2.30E-01,-2.19E-02,2.36E-01,walking
-9.92E-01,2.78E+00,1.09E+01,1.13E+01,0.133,-0.194,-0.929,0.959,-8.72E-02,2.70E-01,6.03E-03,2.84E-01,walking
-9.47E-01,2.79E+00,1.13E+01,1.16E+01,0.115,-0.211,-0.942,0.972,-1.46E-01,3.17E-01,2.49E-02,3.50E-01,walking
-8.33E-01,2.82E+00,1.15E+01,1.19E+01,0.092,-0.221,-0.959,0.988,-2.13E-01,3.50E-01,4.63E-02,4.12E-01,walking
-6.66E-01,2.86E+00,1.16E+01,1.20E+01,0.071,-0.228,-0.979,1.008,-2.72E-01,3.56E-01,6.63E-02,4.53E-01,walking
-4.58E-01,2.87E+00,1.15E+01,1.18E+01,0.054,-0.238,-0.995,1.024,-3.05E-01,3.33E-01,8.12E-02,4.59E-01,walking
-2.44E-01,2.80E+00,1.12E+01,1.16E+01,0.038,-0.246,-1.004,1.035,-3.11E-01,2.74E-01,7.31E-02,4.21E-01,walking
-1.04E-01,2.71E+00,1.10E+01,1.13E+01,0.025,-0.255,-1.011,1.043,-2.76E-01,1.69E-01,4.07E-02,3.26E-01,walking
-2.66E-02,2.69E+00,1.08E+01,1.11E+01,0.01,-0.261,-1.02,1.053,-2.04E-01,3.90E-02,-2.41E-03,2.08E-01,walking
-1.37E-01,2.73E+00,1.07E+01,1.11E+01,-0.015,-0.26,-1.035,1.067,-1.05E-01,-8.57E-02,-5.18E-02,1.45E-01,walking
-2.81E-01,2.73E+00,1.07E+01,1.10E+01,-0.043,-0.254,-1.063,1.093,1.31E-02,-2.09E-01,-9.36E-02,2.30E-01,walking
-4.21E-01,2.60E+00,1.05E+01,1.08E+01,-0.067,-0.243,-1.096,1.124,1.33E-01,-2.91E-01,-1.15E-01,3.40E-01,walking
-6.98E-01,2.45E+00,1.03E+01,1.06E+01,-0.086,-0.227,-1.13,1.156,2.37E-01,-3.04E-01,-1.09E-01,4.01E-01,walking
3.30E-01,2.09E+00,9.57E+00,9.80E+00,-0.002,-0.201,-0.968,0.989,-1.06E-02,-8.84E-03,3.07E-03,1.41E-02,standing
3.77E-01,2.11E+00,9.50E+00,9.74E+00,0.001,-0.202,-0.971,0.992,-2.29E-02,-9.57E-03,9.29E-03,2.65E-02,standing
3.81E-01,2.12E+00,9.42E+00,9.66E+00,0.001,-0.201,-0.971,0.992,-2.03E-02,-8.96E-03,8.24E-03,2.37E-02,standing
3.88E-01,2.13E+00,9.33E+00,9.58E+00,-0.001,-0.2,-0.971,0.992,-1.47E-02,-1.08E-02,6.82E-03,1.95E-02,standing
3.91E-01,2.11E+00,9.32E+00,9.57E+00,-0.005,-0.197,-0.975,0.995,-1.65E-03,-9.28E-03,3.92E-03,1.02E-02,standing
3.95E-01,2.08E+00,9.38E+00,9.61E+00,-0.006,-0.195,-0.979,0.998,5.86E-03,-3.22E-03,-2.91E-03,7.29E-03,standing
4.06E-01,2.05E+00,9.47E+00,9.69E+00,-0.008,-0.196,-0.978,0.997,2.33E-02,4.91E-04,-4.72E-04,2.33E-02,standing
4.19E-01,2.02E+00,9.55E+00,9.77E+00,-0.008,-0.195,-0.977,0.996,2.74E-02,2.21E-03,-3.78E-03,2.78E-02,standing
3.63E-01,2.01E+00,9.59E+00,9.80E+00,-0.002,-0.197,-0.975,0.995,1.98E-02,5.50E-03,-3.35E-03,2.08E-02,standing
2.96E-01,1.99E+00,9.61E+00,9.82E+00,0.005,-0.199,-0.969,0.989,9.92E-03,9.42E-03,-3.73E-04,1.37E-02,standing
2.19E-01,1.95E+00,9.61E+00,9.81E+00,0.007,-0.195,-0.964,0.984,-2.33E-04,5.88E-03,4.28E-04,5.90E-03,standing
2.51E-01,1.90E+00,9.61E+00,9.80E+00,-0.003,-0.198,-0.965,0.985,3.10E-03,4.92E-03,-1.56E-03,6.02E-03,standing
2.47E-01,1.89E+00,9.61E+00,9.79E+00,-0.009,-0.202,-0.974,0.995,5.48E-03,2.15E-03,1.92E-03,6.19E-03,standing
2.68E-01,1.91E+00,9.63E+00,9.82E+00,-0.016,-0.204,-0.989,1.01,7.57E-03,-5.66E-04,8.89E-04,7.64E-03,standing
3.07E-01,1.95E+00,9.71E+00,9.90E+00,-0.015,-0.205,-1.001,1.022,1.42E-02,7.58E-03,1.69E-03,1.62E-02,standing
3.08E-01,1.99E+00,9.78E+00,9.99E+00,-0.015,-0.205,-1.005,1.025,1.86E-02,2.60E-03,-8.86E-04,1.88E-02,standing
3.00E-01,2.02E+00,9.84E+00,1.01E+01,-0.012,-0.199,-0.998,1.018,1.52E-02,2.72E-03,-5.06E-03,1.63E-02,standing
2.82E-01,1.99E+00,9.85E+00,1.01E+01,-0.006,-0.196,-0.988,1.008,8.55E-03,9.80E-03,2.95E-03,1.33E-02,standing
2.49E-01,1.98E+00,9.79E+00,9.99E+00,-0.004,-0.196,-0.979,0.999,6.51E-03,1.79E-03,5.20E-03,8.53E-03,standing
2.28E-01,1.96E+00,9.69E+00,9.89E+00,-0.002,-0.197,-0.971,0.99,-1.19E-03,-3.75E-03,6.28E-04,3.99E-03,standing
1.87E-01,1.97E+00,9.59E+00,9.80E+00,-0.002,-0.201,-0.965,0.986,-8.02E-04,-1.01E-02,6.73E-04,1.01E-02,standing
-6.27E-01,3.22E-01,6.26E+00,6.29E+00,0.079,0.084,-0.831,0.839,-4.16E-01,2.26E+00,2.47E-01,2.31E+00,running
1.05E+00,-1.74E-01,6.30E+00,6.39E+00,0.162,0.165,-0.896,0.925,8.69E-01,3.87E+00,7.27E-01,4.04E+00,running
1.81E+00,1.47E+00,6.04E+00,6.47E+00,0.159,0.204,-0.914,0.95,1.99E+00,3.90E+00,9.55E-01,4.49E+00,running
1.36E+00,3.65E+00,5.31E+00,6.59E+00,0.06,0.211,-0.895,0.922,2.87E+00,3.21E+00,8.69E-01,4.39E+00,running
-4.17E-01,4.51E+00,3.95E+00,6.01E+00,-0.1,0.171,-0.899,0.921,3.41E+00,2.17E+00,7.76E-01,4.11E+00,running
-8.57E-01,2.91E+00,2.43E+00,3.89E+00,-0.276,0.085,-1.001,1.042,3.60E+00,1.40E+00,7.45E-01,3.94E+00,running
-1.93E-01,9.73E-01,1.78E+00,2.04E+00,-0.409,0.014,-1.144,1.215,3.36E+00,1.32E+00,6.70E-01,3.67E+00,running
4.53E-01,2.28E-01,2.43E+00,2.48E+00,-0.483,-0.023,-1.227,1.319,2.46E+00,1.65E+00,5.81E-01,3.01E+00,running
6.04E-01,4.64E-01,3.37E+00,3.45E+00,-0.495,-0.033,-1.212,1.309,1.29E+00,1.95E+00,5.35E-01,2.40E+00,running
2.48E-01,1.39E+00,4.32E+00,4.55E+00,-0.435,-0.05,-1.098,1.182,4.39E-01,1.97E+00,5.40E-01,2.09E+00,running
-2.03E-01,2.29E+00,4.63E+00,5.17E+00,-0.333,-0.078,-0.941,1.001,3.77E-02,1.74E+00,5.58E-01,1.83E+00,running
6.35E-02,2.82E+00,4.39E+00,5.22E+00,-0.225,-0.104,-0.765,0.804,-2.31E-02,1.24E+00,5.05E-01,1.34E+00,running
3.55E-01,2.75E+00,4.94E+00,5.67E+00,-0.151,-0.131,-0.555,0.59,1.72E-01,6.14E-01,3.20E-01,7.13E-01,running
-3.32E-02,2.54E+00,6.15E+00,6.65E+00,-0.101,-0.173,-0.349,0.402,3.93E-01,1.95E-01,1.18E-01,4.54E-01,running
-9.28E-03,2.94E+00,7.05E+00,7.64E+00,-0.066,-0.228,-0.217,0.321,5.46E-01,2.40E-02,5.95E-02,5.50E-01,running
8.46E-01,3.91E+00,7.32E+00,8.34E+00,-0.059,-0.258,-0.204,0.334,6.91E-01,-1.11E-01,1.44E-01,7.15E-01,running
1.79E+00,5.35E+00,7.88E+00,9.69E+00,-0.059,-0.218,-0.312,0.385,8.77E-01,-2.67E-01,3.13E-01,9.69E-01,running
2.53E+00,6.49E+00,8.82E+00,1.12E+01,-0.053,-0.125,-0.537,0.553,9.60E-01,-3.78E-01,4.22E-01,1.12E+00,running
